	genre	bookID	format	0	1	2	3	4	5	6
737	['young adult', 'historical fiction', 'fiction', 'canada', 'school', 'race', 'horror']	2375	hardcover	young adult	historical fiction	fiction	canada	school	race	horror
738	['classics', 'fiction', 'literature', 'adventure', 'historical fiction', 'novels', 'american']	2386	audio	classics	fiction	literature	adventure	historical fiction	novels	american
739	['classics', 'fiction', 'adventure', 'childrens', 'graphic novels', 'picture books', 'literature']	2388	hardcover	classics	fiction	adventure	childrens	graphic novels	picture books	literature
740	['classics', 'fiction', 'literature', 'adventure', 'historical fiction', 'novels', 'american']	2389	audio	classics	fiction	literature	adventure	historical fiction	novels	american
741	['classics', 'fiction', 'literature', 'adventure', 'historical fiction', 'novels', 'american']	2390	paperback	classics	fiction	literature	adventure	historical fiction	novels	american
742	['mystery', 'thriller', 'fiction', 'crime', 'mystery thriller', 'suspense', 'detective']	2378	paperback	mystery	thriller	fiction	crime	mystery thriller	suspense	detective
743	['literary criticism']	2400	paperback	literary criticism						
744	['classics', 'fiction']	2404	paperback	classics	fiction					
745	['psychology', 'nonfiction', 'criticism']	2407	paperback	psychology	nonfiction	criticism				
746	[]	2411	paperback							
747	['classics', 'fiction']	2409	hardcover	classics	fiction					
748	[]	2412	paperback							
749	['fiction', 'mystery', 'thriller', 'legal thriller', 'crime', 'mystery thriller', 'suspense']	2423	paperback	fiction	mystery	thriller	legal thriller	crime	mystery thriller	suspense
750	['fiction', 'mystery', 'thriller', 'legal thriller', 'suspense', 'crime', 'mystery thriller']	2430	paperback	fiction	mystery	thriller	legal thriller	suspense	crime	mystery thriller
751	['travel', 'classics', 'nonfiction', 'humor', 'literature', 'history', 'memoir']	2443	paperback	travel	classics	nonfiction	humor	literature	history	memoir
752	['fantasy', 'fiction', 'humor', 'comedy', 'witches', 'science fiction fantasy', 'magic']	2442	paperback	fantasy	fiction	humor	comedy	witches	science fiction fantasy	magic
753	['classics', 'poetry']	2452	paperback	classics	poetry					
754	['travel', 'nonfiction', 'reference', 'education', 'international', 'teaching']	2445	paperback	travel	nonfiction	reference	education	international	teaching	
755	['classics', 'poetry']	2473	cloth	classics	poetry					
756	['classics', 'science fiction', 'fiction', 'time travel', 'fantasy', 'dystopia', 'literature']	2494	paperback	classics	science fiction	fiction	time travel	fantasy	dystopia	literature
757	['plays', 'drama', 'africa', 'fiction', 'classics', 'nigeria', 'theatre']	2486	paperback	plays	drama	africa	fiction	classics	nigeria	theatre
758	['classics', 'science fiction', 'fiction', 'time travel', 'fantasy', 'dystopia', 'literature']	2495	paperback	classics	science fiction	fiction	time travel	fantasy	dystopia	literature
759	['nonfiction', 'mystery', 'spirituality']	2499	paperback	nonfiction	mystery	spirituality				
760	['classics', 'science fiction', 'fiction', 'time travel', 'fantasy', 'dystopia', 'literature']	2501	paperback	classics	science fiction	fiction	time travel	fantasy	dystopia	literature
761	['short stories', 'science fiction', 'fiction', 'classics', 'fantasy', '20th century', 'anthologies']	2506	paperback	short stories	science fiction	fiction	classics	fantasy	20th century	anthologies
762	['short stories', 'science fiction', 'fiction', 'classics', 'literature', 'fantasy', 'speculative fiction']	2504	paperback	short stories	science fiction	fiction	classics	literature	fantasy	speculative fiction
763	['fiction', 'historical fiction', 'mystery', 'classics', 'historical', 'literature', 'italian literature']	2519	hardcover	fiction	historical fiction	mystery	classics	historical	literature	italian literature
